energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.389,0.108,135.066,0.0276,0.0907,0.933,4,0.466,3,292225,-9.394,0.0393,0,audio_features,spotify:track:5ieUf7sjSgCCpph2PylYDl
0.96,0.261,146.742,0.101,0.00157,0.0,4,0.283,4,198480,-2.383,0.265,0,audio_features,spotify:track:0S0XrQDVx7klZN3K2p5Cdb
0.975,0.141,165.015,0.22,0.00061,4.93e-06,4,0.424,3,250545,-5.035,0.213,0,audio_features,spotify:track:5RCCdmhcIOQc6wNTGZHTS1
0.937,0.283,170.775,0.0677,4.48e-05,7.77e-05,4,0.299,6,225768,-4.657,0.225,0,audio_features,spotify:track:4Ybl8SLHUxerNOWtXjE1pA
0.955,0.477,155.019,0.0395,0.000298,0.0107,4,0.48,9,215000,-3.702,0.658,1,audio_features,spotify:track:6T38YYdc9GkLO07TRI3li2
0.975,0.177,187.934,0.157,0.000365,0.00667,3,0.166,3,264646,-3.238,0.275,0,audio_features,spotify:track:5eJHc3YadLPtA5I834EcmS
0.906,0.311,135.003,0.0364,0.000783,0.376,4,0.527,2,182341,-4.962,0.353,1,audio_features,spotify:track:03DN6uPo84QPNIia6kiXNM
0.935,0.171,157.184,0.0706,0.0139,0.0,4,0.406,5,188221,-4.035,0.431,0,audio_features,spotify:track:3PZHJDVjiVPLG0dDQ63AvB
0.311,0.114,124.008,0.0339,0.685,0.0,4,0.662,9,265191,-9.618,0.0461,1,audio_features,spotify:track:0TbPY0S8vM7YjFfO8xLus0
0.984,0.294,85.133,0.0735,5.59e-05,0.000446,4,0.315,5,86509,-3.186,0.428,1,audio_features,spotify:track:3Eflt8PBl7uiQeRM8m8xfF
0.927,0.138,174.846,0.0808,0.00152,0.0,4,0.452,9,227341,-5.734,0.189,1,audio_features,spotify:track:5rIfiOl9SpK3FSYJlZHGSP
0.749,0.175,114.985,0.0272,0.00226,0.196,4,0.621,6,236987,-5.95,0.533,1,audio_features,spotify:track:0o0orlqmDZFKNbmAm1Rzgc
0.929,0.2,80.97,0.0469,0.000123,0.0021,4,0.469,8,247846,-4.235,0.291,1,audio_features,spotify:track:6tLB1vGo269pvIpvFrdhoL
0.899,0.116,154.982,0.0753,3.52e-05,1.08e-05,4,0.386,1,176657,-5.098,0.321,1,audio_features,spotify:track:5tPDTTh9O8DbYvDGznx1T4
0.792,0.291,75.253,0.0582,0.0098,1.62e-06,4,0.408,4,234800,-6.793,0.247,1,audio_features,spotify:track:5tQpoauIWgyRIeeWU8T8yR
0.908,0.0623,127.937,0.0639,0.00157,8.42e-05,4,0.325,2,185625,-5.099,0.135,1,audio_features,spotify:track:0l21eQ4VmgCGqwpoOPA94n
0.628,0.12,99.986,0.0299,0.0584,0.000827,4,0.571,3,135156,-7.78,0.228,1,audio_features,spotify:track:2L1tfEoa948dSqYVAksFiQ
0.72,0.435,197.954,0.0474,0.00605,0.00859,4,0.364,11,226707,-9.21,0.208,1,audio_features,spotify:track:0qMjor9UPXlE9e1LqPnidZ
0.453,0.408,119.59,0.0357,0.0877,1.38e-06,4,0.315,7,239860,-8.369,0.153,1,audio_features,spotify:track:6kXozg7jYTVlKhVNaMzPTp
0.98,0.231,139.026,0.0854,2.46e-05,0.000816,4,0.508,7,195540,-4.284,0.225,0,audio_features,spotify:track:7DaLhXdaC0H60QmsDLeV1M
0.867,0.0433,142.573,0.142,0.0718,0.0,4,0.296,6,245778,-4.634,0.377,1,audio_features,spotify:track:0ApCpNJMlI3gN0nh4XXOVZ
0.395,0.106,104.987,0.0266,0.575,0.0,3,0.576,0,229772,-8.253,0.178,1,audio_features,spotify:track:3Z8f4EYNY6aDIlDt8r8ypb
0.9,0.137,139.986,0.0721,0.00074,0.0333,4,0.395,7,273775,-5.536,0.438,1,audio_features,spotify:track:0XQ0mEXpgBarbkUmJpVARz
0.749,0.119,119.953,0.0417,0.156,0.0,3,0.498,6,280590,-3.964,0.238,1,audio_features,spotify:track:2m3iyAOkjFYkwhEEoReral
